"","sim","method","metric","observed","value","n","N"
"200",24,"Diffusion","sign","recoverable",0.5625,5,200
"201",25,"FiTree","mae","observed",0.326942593388333,5,200
"202",25,"FiTree","mae","recoverable",0.287755881341112,5,200
"203",25,"FiTree","sign","observed",0.909090909090909,5,200
"204",25,"FiTree","sign","recoverable",0.764705882352941,5,200
"205",25,"Diffusion","mae","observed",0.549065464878189,5,200
"206",25,"Diffusion","mae","recoverable",0.567249476100046,5,200
"207",25,"Diffusion","sign","observed",0.727272727272727,5,200
"208",25,"Diffusion","sign","recoverable",0.647058823529412,5,200
"209",26,"FiTree","mae","observed",0.0494125573313133,5,200
"210",26,"FiTree","mae","recoverable",0.135853750627619,5,200
"211",26,"FiTree","sign","observed",0.75,5,200
"212",26,"FiTree","sign","recoverable",0.733333333333333,5,200
"213",26,"Diffusion","mae","observed",0.550914575045182,5,200
"214",26,"Diffusion","mae","recoverable",0.602331341588506,5,200
"215",26,"Diffusion","sign","observed",0.583333333333333,5,200
"216",26,"Diffusion","sign","recoverable",0.533333333333333,5,200
"217",27,"FiTree","mae","observed",0.112961154974208,5,200
"218",27,"FiTree","mae","recoverable",0.193365705250757,5,200
"219",27,"FiTree","sign","observed",0.875,5,200
"220",27,"FiTree","sign","recoverable",0.75,5,200
"221",27,"Diffusion","mae","observed",0.532869630493161,5,200
"222",27,"Diffusion","mae","recoverable",2.84326754461443,5,200
"223",27,"Diffusion","sign","observed",0.75,5,200
"224",27,"Diffusion","sign","recoverable",0.5625,5,200
"225",28,"FiTree","mae","observed",0.838576261829599,5,200
"226",28,"FiTree","mae","recoverable",0.473372005259636,5,200
"227",28,"FiTree","sign","observed",1,5,200
"228",28,"FiTree","sign","recoverable",0.88235294117647,5,200
"229",28,"Diffusion","mae","observed",0.501109756916009,5,200
"230",28,"Diffusion","mae","recoverable",0.562108373802245,5,200
"231",28,"Diffusion","sign","observed",0.777777777777778,5,200
"232",28,"Diffusion","sign","recoverable",0.588235294117647,5,200
"233",29,"FiTree","mae","observed",0.0892886592289994,5,200
"234",29,"FiTree","mae","recoverable",0.136069080710821,5,200
"235",29,"FiTree","sign","observed",1,5,200
"236",29,"FiTree","sign","recoverable",0.88235294117647,5,200
"237",29,"Diffusion","mae","observed",0.375675202778604,5,200
"238",29,"Diffusion","mae","recoverable",0.421295906391144,5,200
"239",29,"Diffusion","sign","observed",0.846153846153846,5,200
"240",29,"Diffusion","sign","recoverable",0.705882352941177,5,200
"241",30,"FiTree","mae","observed",0.0908863470362985,5,200
"242",30,"FiTree","mae","recoverable",0.0983610953661593,5,200
"243",30,"FiTree","sign","observed",0.769230769230769,5,200
"244",30,"FiTree","sign","recoverable",0.647058823529412,5,200
"245",30,"Diffusion","mae","observed",0.456363567417823,5,200
"246",30,"Diffusion","mae","recoverable",0.526530247256484,5,200
"247",30,"Diffusion","sign","observed",0.769230769230769,5,200
"248",30,"Diffusion","sign","recoverable",0.705882352941177,5,200
"249",31,"FiTree","mae","observed",0.0482816627986854,5,200
"250",31,"FiTree","mae","recoverable",0.0867524380417399,5,200
"251",31,"FiTree","sign","observed",0.636363636363636,5,200
"252",31,"FiTree","sign","recoverable",0.470588235294118,5,200
"253",31,"Diffusion","mae","observed",0.363956243965072,5,200
"254",31,"Diffusion","mae","recoverable",0.529923589280668,5,200
"255",31,"Diffusion","sign","observed",0.636363636363636,5,200
"256",31,"Diffusion","sign","recoverable",0.411764705882353,5,200
"257",32,"FiTree","mae","observed",0.0839408796000004,5,200
"258",32,"FiTree","mae","recoverable",0.137881147307521,5,200
"259",32,"FiTree","sign","observed",0.727272727272727,5,200
"260",32,"FiTree","sign","recoverable",0.588235294117647,5,200
"261",32,"Diffusion","mae","observed",0.394028054202731,5,200
"262",32,"Diffusion","mae","recoverable",0.479035217921647,5,200
"263",32,"Diffusion","sign","observed",0.636363636363636,5,200
"264",32,"Diffusion","sign","recoverable",0.470588235294118,5,200
"265",33,"FiTree","mae","observed",0.349635173428226,5,200
"266",33,"FiTree","mae","recoverable",0.390049470147433,5,200
"267",33,"FiTree","sign","observed",0.846153846153846,5,200
"268",33,"FiTree","sign","recoverable",0.68421052631579,5,200
"269",33,"Diffusion","mae","observed",0.686311570047122,5,200
"270",33,"Diffusion","mae","recoverable",0.601176314965039,5,200
"271",33,"Diffusion","sign","observed",0.692307692307692,5,200
"272",33,"Diffusion","sign","recoverable",0.68421052631579,5,200
"273",34,"FiTree","mae","observed",0.0819311410372158,5,200
"274",34,"FiTree","mae","recoverable",0.0954385420474628,5,200
"275",34,"FiTree","sign","observed",0.8,5,200
"276",34,"FiTree","sign","recoverable",0.6875,5,200
"277",34,"Diffusion","mae","observed",0.34702821303079,5,200
"278",34,"Diffusion","mae","recoverable",0.373532388867071,5,200
"279",34,"Diffusion","sign","observed",0.8,5,200
"280",34,"Diffusion","sign","recoverable",0.625,5,200
"281",35,"FiTree","mae","observed",0.0701024453967437,5,200
"282",35,"FiTree","mae","recoverable",0.104721304211597,5,200
"283",35,"FiTree","sign","observed",0.875,5,200
"284",35,"FiTree","sign","recoverable",0.8,5,200
"285",35,"Diffusion","mae","observed",0.520560081414469,5,200
"286",35,"Diffusion","mae","recoverable",7.77433283551311,5,200
"287",35,"Diffusion","sign","observed",0.5,5,200
"288",35,"Diffusion","sign","recoverable",0.4,5,200
"289",36,"FiTree","mae","observed",1.07749472260553,5,200
"290",36,"FiTree","mae","recoverable",0.860734963215254,5,200
"291",36,"FiTree","sign","observed",0.8,5,200
"292",36,"FiTree","sign","recoverable",0.7,5,200
"293",36,"Diffusion","mae","observed",0.422149930388547,5,200
"294",36,"Diffusion","mae","recoverable",0.5365210868638,5,200
"295",36,"Diffusion","sign","observed",0.666666666666667,5,200
"296",36,"Diffusion","sign","recoverable",0.5,5,200
"297",37,"FiTree","mae","observed",0.104600525492528,5,200
"298",37,"FiTree","mae","recoverable",0.10344487139709,5,200
"299",37,"FiTree","sign","observed",1,5,200
"300",37,"FiTree","sign","recoverable",0.894736842105263,5,200
"301",37,"Diffusion","mae","observed",0.307462622579938,5,200
"302",37,"Diffusion","mae","recoverable",0.279140723066417,5,200
"303",37,"Diffusion","sign","observed",0.875,5,200
"304",37,"Diffusion","sign","recoverable",0.789473684210526,5,200
"305",38,"FiTree","mae","observed",0.0660121280962298,5,200
"306",38,"FiTree","mae","recoverable",0.149245446221969,5,200
"307",38,"FiTree","sign","observed",0.75,5,200
"308",38,"FiTree","sign","recoverable",0.625,5,200
"309",38,"Diffusion","mae","observed",0.649059217380889,5,200
"310",38,"Diffusion","mae","recoverable",0.701335748975794,5,200
"311",38,"Diffusion","sign","observed",0.75,5,200
"312",38,"Diffusion","sign","recoverable",0.625,5,200
"313",39,"FiTree","mae","observed",0.726161808968621,5,200
"314",39,"FiTree","mae","recoverable",0.663802978133097,5,200
"315",39,"FiTree","sign","observed",0.823529411764706,5,200
"316",39,"FiTree","sign","recoverable",0.75,5,200
"317",39,"Diffusion","mae","observed",0.414617320086354,5,200
"318",39,"Diffusion","mae","recoverable",0.427871056310401,5,200
"319",39,"Diffusion","sign","observed",0.764705882352941,5,200
"320",39,"Diffusion","sign","recoverable",0.7,5,200
"321",40,"FiTree","mae","observed",0.194213972523009,5,200
"322",40,"FiTree","mae","recoverable",0.180755638347714,5,200
"323",40,"FiTree","sign","observed",0.785714285714286,5,200
"324",40,"FiTree","sign","recoverable",0.647058823529412,5,200
"325",40,"Diffusion","mae","observed",0.311195018622297,5,200
"326",40,"Diffusion","mae","recoverable",0.392971193995194,5,200
"327",40,"Diffusion","sign","observed",0.642857142857143,5,200
"328",40,"Diffusion","sign","recoverable",0.529411764705882,5,200
"329",41,"FiTree","mae","observed",0.163694829267327,5,200
"330",41,"FiTree","mae","recoverable",0.240796552844885,5,200
"331",41,"FiTree","sign","observed",0.833333333333333,5,200
"332",41,"FiTree","sign","recoverable",0.666666666666667,5,200
"333",41,"Diffusion","mae","observed",0.668068929254794,5,200
"334",41,"Diffusion","mae","recoverable",2.83288465758602,5,200
"335",41,"Diffusion","sign","observed",0.5,5,200
"336",41,"Diffusion","sign","recoverable",0.388888888888889,5,200
"337",42,"FiTree","mae","observed",0.0688702840231889,5,200
"338",42,"FiTree","mae","recoverable",0.0694025431409722,5,200
"339",42,"FiTree","sign","observed",0.866666666666667,5,200
"340",42,"FiTree","sign","recoverable",0.85,5,200
"341",42,"Diffusion","mae","observed",0.62493239157369,5,200
"342",42,"Diffusion","mae","recoverable",0.622935941142328,5,200
"343",42,"Diffusion","sign","observed",0.866666666666667,5,200
"344",42,"Diffusion","sign","recoverable",0.75,5,200
"345",43,"FiTree","mae","observed",0.05320960075911,5,200
"346",43,"FiTree","mae","recoverable",0.0590064023258932,5,200
"347",43,"FiTree","sign","observed",0.555555555555556,5,200
"348",43,"FiTree","sign","recoverable",0.6,5,200
"349",43,"Diffusion","mae","observed",0.557573473922409,5,200
"350",43,"Diffusion","mae","recoverable",0.815133537721905,5,200
"351",43,"Diffusion","sign","observed",0.555555555555556,5,200
"352",43,"Diffusion","sign","recoverable",0.533333333333333,5,200
"353",44,"FiTree","mae","observed",0.0768907870844946,5,200
"354",44,"FiTree","mae","recoverable",0.0773023183822528,5,200
"355",44,"FiTree","sign","observed",0.75,5,200
"356",44,"FiTree","sign","recoverable",0.6875,5,200
"357",44,"Diffusion","mae","observed",0.415083333490386,5,200
"358",44,"Diffusion","mae","recoverable",0.40580491236971,5,200
"359",44,"Diffusion","sign","observed",0.666666666666667,5,200
"360",44,"Diffusion","sign","recoverable",0.5625,5,200
"361",45,"FiTree","mae","observed",0.0612881246120331,5,200
"362",45,"FiTree","mae","recoverable",0.0980366932639626,5,200
"363",45,"FiTree","sign","observed",0.866666666666667,5,200
"364",45,"FiTree","sign","recoverable",0.888888888888889,5,200
"365",45,"Diffusion","mae","observed",0.442888289985676,5,200
"366",45,"Diffusion","mae","recoverable",0.53570737829222,5,200
"367",45,"Diffusion","sign","observed",0.866666666666667,5,200
"368",45,"Diffusion","sign","recoverable",0.777777777777778,5,200
"369",46,"FiTree","mae","observed",0.0408304509238626,5,200
"370",46,"FiTree","mae","recoverable",0.132794919450445,5,200
"371",46,"FiTree","sign","observed",0.6,5,200
"372",46,"FiTree","sign","recoverable",0.4375,5,200
"373",46,"Diffusion","mae","observed",0.204426340370707,5,200
"374",46,"Diffusion","mae","recoverable",0.342572098502546,5,200
"375",46,"Diffusion","sign","observed",0.5,5,200
